secid,symbol,exchange,exchangecode,sourceexchange,securitytype
724420288,ALSI,EDM,1000117,EDMMIS,2400
724540723,ALSH,EDM,1000120,EDMMIS,2400
724540724,RESI,EDM,1000122,EDMMIS,2400
724540725,J211,EDM,1000123,EDMMIS,2400
724540726,FINI,EDM,1000124,EDMMIS,2400
724540727,FNDI,EDM,1000125,EDMMIS,2400
724540728,CTOP,EDM,1000144,EDMMIS,2400
724540729,DTOP,EDM,1000155,EDMMIS,2400
724540730,GERE,EDM,1000164,EDMMIS,2400
724540731,ETOP,EDM,1000306,EDMMIS,2400
724540732,DCAP,EDM,1000440,EDMMIS,2400
724540733,NABI,EDM,1000452,EDMMIS,2400
724540734,QANI,EDM,1000453,EDMMIS,2400
724540735,NESNI,EDM,1000455,EDMMIS,2400
724540736,ROGI,EDM,1000457,EDMMIS,2400
724540737,EI,EDM,1000458,EDMMIS,2400
724540738,PAH3I,EDM,1000459,EDMMIS,2400
724540739,HMSOI,EDM,1000461,EDMMIS,2400
724540740,HMSOQ,EDM,1000462,EDMMIS,2400
724540741,IWRDI,EDM,1000463,EDMMIS,2400
724540742,700I,EDM,1000464,EDMMIS,2400
724540743,7201I,EDM,1000465,EDMMIS,2400
724540744,7974I,EDM,1000466,EDMMIS,2400
724540745,HEDJI,EDM,1000468,EDMMIS,2400
724540746,OGZDI,EDM,1000469,EDMMIS,2400
724540747,MS,EDM,1000470,EDMMIS,2400
724540748,MXWD,EDM,1000472,EDMMIS,2400
724540749,MXWO,EDM,1000474,EDMMIS,2400
724540750,MXWOQ,EDM,1000475,EDMMIS,2400
724540751,SK3I,EDM,1000595,EDMMIS,2400
724540752,IVVI,EDM,1000596,EDMMIS,2400
724540753,IVVQ,EDM,1000597,EDMMIS,2400
724540754,MXZA,EDM,1001390,EDMMIS,2400
724540755,BSK001,EDM,1003113,EDMMIS,2400
724540756,BSK002,EDM,1003114,EDMMIS,2400
724540757,MC,EDM,1004248,EDMMIS,2400
724540758,AAPLI,EDM,1004882,EDMMIS,2400
724540759,BPPI,EDM,1004918,EDMMIS,2400
724540760,RIOI,EDM,1004919,EDMMIS,2400
724540761,TSCOI,EDM,1004920,EDMMIS,2400
724540762,VODI,EDM,1004921,EDMMIS,2400
724540763,BARCI,EDM,1004922,EDMMIS,2400
724540764,ISFI,EDM,1004923,EDMMIS,2400
724540765,IMBI,EDM,1004924,EDMMIS,2400
724540766,SHPI,EDM,1004925,EDMMIS,2400
724540767,DGEI,EDM,1004926,EDMMIS,2400
724540768,MRWI,EDM,1004927,EDMMIS,2400
724540769,BATSI,EDM,1004928,EDMMIS,2400
724540770,PRUI,EDM,1004929,EDMMIS,2400
724540771,ASCI,EDM,1004930,EDMMIS,2400
724540772,ABFI,EDM,1004931,EDMMIS,2400
724540773,RRHI,EDM,1004932,EDMMIS,2400
724540774,ITVI,EDM,1004933,EDMMIS,2400
724540775,BTAI,EDM,1004934,EDMMIS,2400
724540776,HLPI,EDM,1004935,EDMMIS,2400
724540777,STJI,EDM,1004936,EDMMIS,2400
724540778,SBRYI,EDM,1004937,EDMMIS,2400
724540779,WTBI,EDM,1004938,EDMMIS,2400
724540780,BACI,EDM,1004939,EDMMIS,2400
724540781,CITI,EDM,1004956,EDMMIS,2400
724540782,MOI,EDM,1004957,EDMMIS,2400
724540783,REAI,EDM,1004958,EDMMIS,2400
724540784,MSFTI,EDM,1004959,EDMMIS,2400
724540785,BRKI,EDM,1004960,EDMMIS,2400
724540786,QCOMI,EDM,1004961,EDMMIS,2400
724540787,GSOI,EDM,1004962,EDMMIS,2400
724540788,DBKI,EDM,1004963,EDMMIS,2400
724540789,MCDI,EDM,1004964,EDMMIS,2400
724540790,VISI,EDM,1004980,EDMMIS,2400
724540791,WFCI,EDM,1004981,EDMMIS,2400
724540792,AMZI,EDM,1004982,EDMMIS,2400
724540793,IBMI,EDM,1004983,EDMMIS,2400
724540794,BIDUI,EDM,1004984,EDMMIS,2400
724540795,METI,EDM,1004985,EDMMIS,2400
724540796,SBUXI,EDM,1004986,EDMMIS,2400
724540797,AUTOI,EDM,1005020,EDMMIS,2400
724540798,CCHI,EDM,1005021,EDMMIS,2400
724540799,AALI,EDM,1005022,EDMMIS,2400
724540800,OMLI,EDM,1005023,EDMMIS,2400
724540801,MASTI,EDM,1005024,EDMMIS,2400
724540802,FBOI,EDM,1005025,EDMMIS,2400
724540803,CHKI,EDM,1005026,EDMMIS,2400
724540804,HEIAI,EDM,1005027,EDMMIS,2400
724540805,LVSI,EDM,1005028,EDMMIS,2400
724540806,NFLXI,EDM,1005029,EDMMIS,2400
724540807,TSLAI,EDM,1005030,EDMMIS,2400
724540808,GMOI,EDM,1005076,EDMMIS,2400
724540809,HDBI,EDM,1005077,EDMMIS,2400
724540810,AIGI,EDM,1005078,EDMMIS,2400
724540811,RICI,EDM,1005079,EDMMIS,2400
724540812,TGTI,EDM,1005080,EDMMIS,2400
724540813,TJXI,EDM,1005081,EDMMIS,2400
724540814,MUCI,EDM,1005082,EDMMIS,2400
724540815,JPMI,EDM,1005083,EDMMIS,2400
724540816,GTRI,EDM,1005084,EDMMIS,2400
724540817,KORSI,EDM,1005085,EDMMIS,2400
724540818,KROI,EDM,1005086,EDMMIS,2400
724540819,RADI,EDM,1005087,EDMMIS,2400
724540820,EBAYI,EDM,1005088,EDMMIS,2400
724540821,MACYI,EDM,1005089,EDMMIS,2400
724540822,AZOI,EDM,1005090,EDMMIS,2400
724540823,EATI,EDM,1005091,EDMMIS,2400
724540824,DHOI,EDM,1005092,EDMMIS,2400
724540825,TAPI,EDM,1005093,EDMMIS,2400
724540826,VOWI,EDM,1005094,EDMMIS,2400
724540827,VOWGI,EDM,1005095,EDMMIS,2400
724540828,CBAI,EDM,1005096,EDMMIS,2400
724540829,PMMI,EDM,1005097,EDMMIS,2400
724540830,NKEI,EDM,1005098,EDMMIS,2400
724540831,ADSI,EDM,1005099,EDMMIS,2400
724540832,NTESI,EDM,1005100,EDMMIS,2400
724540833,DRII,EDM,1005101,EDMMIS,2400
724540834,BLMNI,EDM,1005102,EDMMIS,2400
724540835,TIFI,EDM,1005103,EDMMIS,2400
724540836,TWTRI,EDM,1005104,EDMMIS,2400
724540837,GILDI,EDM,1005105,EDMMIS,2400
724540838,GOOGI,EDM,1005106,EDMMIS,2400
724540839,PNRAI,EDM,1005107,EDMMIS,2400
724540840,UANI,EDM,1005108,EDMMIS,2400
724540841,PCLNI,EDM,1005109,EDMMIS,2400
724540842,ALKI,EDM,1005110,EDMMIS,2400
724540843,WBCI,EDM,1005111,EDMMIS,2400
724540844,KMII,EDM,1005112,EDMMIS,2400
