secid,symbol,exchange,exchangecode,sourceexchange,securitytype
2133506267,SNHIHA,JSE,65611,ZA04,107
2133506740,MTNSBS,JSE,71645,ZA04,108
2133500774,GOLDEN,JSE,33240,ZA06,400
2133506595,BILSBO,JSE,70524,ZA04,107
2133506923,KIOSTN,JSE,72583,ZA04,107
2133003785,JBL,JSE,9221,ZA03,100
2133504886,LPBEG1,JSE,49490,ZA04,186
2133003640,FSE,JSE,12585,ZA03,100
2133004586,SBK,JSE,209,ZA01,100
2133003495,OMN,JSE,431,ZA02,100
2133503360,RDFIVD,JSE,37129,ZA04,107
2133004624,WHL,JSE,2198,ZA01,100
2133506198,ZA112,JSE,63922,ZA04,107
2133506526,AMIB50,JSE,68542,ZA06,112
927666902,SNM,NAM,2562,ZA12,100
2133505435,GAI,JSE,56094,ZA03,100
2133506236,LPWO04,JSE,34085,ZA04,107
2133506564,ZA121,JSE,69969,ZA04,107
2133003899,STANSX,JSE,14314,ZA06,112
2133506892,TOPSKD,JSE,71694,ZA04,107
2133003754,RNG,JSE,1608,ZA03,100
2133505801,ZA110,JSE,60263,ZA04,186
2133506747,BILSBQ,JSE,71635,ZA04,108
2133003609,WNH,JSE,551,ZA03,100
2133004555,LEW,JSE,6170,ZA02,100
2133506602,HARSBB,JSE,70526,ZA04,107
2133506930,GFISBI,JSE,72635,ZA04,107
2133004738,OML,JSE,2676,ZA01,100
2133505366,ESPIB2,JSE,55145,ZA04,107
2133003647,HUG,JSE,10342,ZA03,100
2133004120,IWE,JSE,10023,ZA03,100
927667016,B2G,NAM,30543,ZA11,100
2133500201,DIA,JSE,15178,ZA03,100
2133506495,ECSP20,JSE,68187,ZA02,200
2133004776,SLM,JSE,2496,ZA01,100
2133505404,ECSP7,JSE,56052,ZA02,200
2133506350,STXILB,JSE,67755,ZA06,112
2133004158,ANS,JSE,10016,ZA03,100
2133004631,NPN,JSE,1732,ZA01,100
2133504786,DNB,JSE,47788,ZA03,100
2133505259,GIVISA,JSE,11638,ZA06,112
2133004013,BAU,JSE,1919,ZA03,100
2133506060,YYLBEE,JSE,61273,ZA03,100
2133506533,FSRSBP,JSE,69047,ZA04,108
2133004814,TKG,JSE,4853,ZA02,100
927666909,TUC,NAM,8774,ZA12,100
2133004669,MSM,JSE,3058,ZA02,100
2133506571,NPNSBD,JSE,70096,ZA04,107
2133506899,AGLSBG,JSE,71904,ZA04,107
2133003761,AXLP,JSE,6862,ZA02,200
2133004234,RTOP,JSE,1090,ZA02,200
2133503443,VKEIVA,JSE,39090,ZA04,107
2133506281,SPIB13,JSE,65947,ZA04,107
2133504244,FDP,JSE,40017,ZA03,100
2133506609,ZA118,JSE,68847,ZA04,107
2133504900,ZA089,JSE,49370,ZA04,107
2133004127,TTO,JSE,12926,ZA03,100
2133504755,STP,JSE,36515,ZA02,100
2133003509,WEZ,JSE,7909,ZA03,100
2133505411,IHL,JSE,54977,ZA03,100
2133003692,UCP,JSE,1606,ZA03,100
2133004638,APN,JSE,1415,ZA01,100
2133504793,IMRP7,JSE,48621,ZA02,200
2133500391,NFTRCI,JSE,21128,ZA06,112
2133504175,VIS,JSE,41295,ZA03,100
2133506540,L4L,JSE,68846,ZA02,100
2133004821,SYGWD,JSE,11458,ZA06,112
2133003730,RES,JSE,4730,ZA02,100
2133004676,NTC,JSE,2064,ZA01,100
2133506250,SGLSTA,JSE,64996,ZA04,107
2133505159,ZA091,JSE,51731,ZA04,186
2133506578,TFGSBA,JSE,70105,ZA04,107
